#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 319000      6.43e-01      2.56e-03      4.55e-02    2.0e-04
 320000      7.86e-01      1.08e-03      5.63e-02    1.9e-04
 321000      7.86e-01      5.26e-03      5.62e-02    1.9e-04
 322000      6.05e-01      3.70e-04      4.34e-02    1.9e-04
 323000      8.26e-01      1.55e-02      5.78e-02    1.9e-04
 324000      7.26e-01      1.87e-03      5.20e-02    1.9e-04
 325000      6.37e-01      2.35e-03      4.62e-02    1.9e-04
 326000      7.94e-01      8.33e-05      5.76e-02    1.9e-04
 327000      6.74e-01      6.28e-03      4.86e-02    1.9e-04
 328000      6.47e-01      1.30e-02      4.55e-02    1.9e-04
 329000      5.00e-01      3.87e-03      3.62e-02    1.9e-04
 330000      7.05e-01      8.62e-03      5.12e-02    1.8e-04
 331000      6.73e-01      8.90e-04      4.95e-02    1.8e-04
 332000      1.60e+00      5.57e-04      1.18e-01    1.8e-04
 333000      1.07e+00      4.05e-03      7.85e-02    1.8e-04
 334000      5.95e-01      2.07e-03      4.38e-02    1.8e-04
 335000      7.53e-01      4.13e-03      5.59e-02    1.8e-04
 336000      5.58e-01      3.45e-03      4.15e-02    1.8e-04
 337000      1.75e+00      8.67e-03      1.30e-01    1.8e-04
 338000      8.68e-01      2.58e-03      6.46e-02    1.8e-04
 339000      8.37e-01      7.94e-03      6.19e-02    1.8e-04
 340000      6.68e-01      4.02e-04      5.04e-02    1.7e-04
 341000      6.95e-01      3.64e-03      5.23e-02    1.7e-04
 342000      6.20e-01      1.77e-03      4.67e-02    1.7e-04
 343000      6.96e-01      5.94e-03      5.22e-02    1.7e-04
 344000      6.53e-01      5.25e-03      4.90e-02    1.7e-04
 345000      1.56e+00      2.12e-03      1.19e-01    1.7e-04
 346000      5.98e-01      3.97e-03      4.55e-02    1.7e-04
 347000      6.03e-01      2.49e-03      4.60e-02    1.7e-04
 348000      6.22e-01      2.40e-03      4.75e-02    1.7e-04
 349000      5.83e-01      8.00e-03      4.38e-02    1.7e-04
 350000      6.47e-01      2.27e-04      5.01e-02    1.7e-04
 351000      7.18e-01      9.15e-03      5.49e-02    1.7e-04
 352000      6.80e-01      1.94e-03      5.26e-02    1.7e-04
 353000      5.73e-01      4.00e-03      4.42e-02    1.7e-04
 354000      6.00e-01      1.23e-02      4.50e-02    1.7e-04
 355000      1.07e+00      5.38e-03      8.38e-02    1.6e-04
 356000      7.17e-01      7.08e-03      5.58e-02    1.6e-04
 357000      6.33e-01      3.38e-04      4.96e-02    1.6e-04
 358000      6.45e-01      6.88e-03      5.01e-02    1.6e-04
 359000      5.99e-01      4.70e-03      4.67e-02    1.6e-04
 360000      6.91e-01      9.40e-03      5.41e-02    1.6e-04
 361000      7.51e-01      4.56e-04      5.96e-02    1.6e-04
 362000      5.96e-01      1.17e-02      4.60e-02    1.6e-04
 363000      5.99e-01      2.86e-03      4.75e-02    1.6e-04
 364000      4.99e-01      3.84e-03      3.94e-02    1.6e-04
 365000      7.11e-01      7.40e-03      5.67e-02    1.5e-04
 366000      7.10e-01      1.42e-03      5.70e-02    1.5e-04
 367000      7.00e-01      3.19e-05      5.63e-02    1.5e-04
 368000      5.23e-01      3.64e-03      4.19e-02    1.5e-04
 369000      9.28e-01      1.78e-03      7.46e-02    1.5e-04
 370000      6.05e-01      1.18e-03      4.92e-02    1.5e-04
 371000      6.58e-01      6.56e-03      5.32e-02    1.5e-04
 372000      7.77e-01      1.41e-02      6.17e-02    1.5e-04
 373000      6.52e-01      1.44e-03      5.30e-02    1.5e-04
 374000      5.65e-01      2.93e-03      4.59e-02    1.5e-04
 375000      5.09e-01      7.50e-03      4.13e-02    1.5e-04
 376000      7.33e-01      2.05e-03      6.04e-02    1.5e-04
 377000      6.16e-01      4.97e-03      5.05e-02    1.5e-04
 378000      6.94e-01      1.00e-02      5.63e-02    1.5e-04
 379000      6.73e-01      7.21e-03      5.50e-02    1.5e-04
 380000      4.17e-01      2.27e-03      3.48e-02    1.4e-04
 381000      6.20e-01      2.59e-03      5.17e-02    1.4e-04
 382000      5.59e-01      3.57e-03      4.66e-02    1.4e-04
 383000      5.00e-01      6.09e-03      4.12e-02    1.4e-04
 384000      5.59e-01      1.28e-02      4.48e-02    1.4e-04
 385000      5.21e-01      3.50e-04      4.40e-02    1.4e-04
 386000      6.09e-01      9.74e-03      5.06e-02    1.4e-04
 387000      1.07e+00      1.31e-03      9.03e-02    1.4e-04
 388000      7.07e-01      1.52e-03      5.98e-02    1.4e-04
 389000      6.97e-01      3.50e-03      5.88e-02    1.4e-04
 390000      8.14e-01      5.41e-03      6.95e-02    1.4e-04
 391000      6.55e-01      1.56e-03      5.61e-02    1.4e-04
 392000      4.73e-01      5.58e-04      4.05e-02    1.4e-04
 393000      6.39e-01      1.99e-03      5.47e-02    1.4e-04
 394000      5.02e-01      1.90e-03      4.29e-02    1.4e-04
 395000      6.31e-01      3.64e-03      5.47e-02    1.3e-04
 396000      5.08e-01      6.33e-03      4.35e-02    1.3e-04
 397000      6.04e-01      1.71e-03      5.24e-02    1.3e-04
 398000      7.39e-01      2.80e-04      6.41e-02    1.3e-04
 399000      5.78e-01      6.30e-03      4.97e-02    1.3e-04
 400000      6.54e-01      7.81e-03      5.68e-02    1.3e-04
 401000      6.91e-01      4.78e-04      6.07e-02    1.3e-04
 402000      7.75e-01      1.71e-03      6.81e-02    1.3e-04
 403000      5.33e-01      3.86e-03      4.66e-02    1.3e-04
 404000      5.45e-01      8.02e-03      4.71e-02    1.3e-04
 405000      5.65e-01      1.20e-02      4.87e-02    1.3e-04
 406000      5.27e-01      2.84e-03      4.68e-02    1.3e-04
 407000      7.26e-01      5.17e-03      6.43e-02    1.3e-04
 408000      5.53e-01      5.53e-03      4.88e-02    1.3e-04
 409000      5.73e-01      3.15e-03      5.09e-02    1.3e-04
 410000      6.19e-01      6.02e-03      5.54e-02    1.2e-04
 411000      5.21e-01      9.69e-03      4.55e-02    1.2e-04
 412000      6.99e-01      1.38e-03      6.30e-02    1.2e-04
 413000      6.37e-01      5.86e-04      5.74e-02    1.2e-04
 414000      6.51e-01      4.34e-03      5.85e-02    1.2e-04
 415000      5.00e-01      8.55e-03      4.45e-02    1.2e-04
 416000      5.51e-01      2.23e-03      5.02e-02    1.2e-04
 417000      5.55e-01      7.67e-04      5.06e-02    1.2e-04
 418000      5.22e-01      4.47e-03      4.73e-02    1.2e-04
 419000      5.90e-01      5.16e-03      5.36e-02    1.2e-04
 420000      7.65e-01      1.06e-02      6.97e-02    1.2e-04
 421000      4.87e-01      4.12e-03      4.48e-02    1.2e-04
 422000      6.39e-01      2.59e-03      5.91e-02    1.2e-04
 423000      5.02e-01      2.37e-03      4.64e-02    1.2e-04
 424000      5.94e-01      3.04e-03      5.48e-02    1.2e-04
 425000      5.85e-01      2.52e-03      5.47e-02    1.1e-04
 426000      5.71e-01      2.09e-03      5.34e-02    1.1e-04
 427000      4.89e-01      5.37e-03      4.53e-02    1.1e-04
 428000      3.89e-01      1.56e-03      3.64e-02    1.1e-04
 429000      7.24e-01      3.28e-03      6.77e-02    1.1e-04
 430000      6.42e-01      2.94e-03      6.08e-02    1.1e-04
